NUM_INDX,DESCRIPCION_INDX,DESCRIPCION_INDX_NORM,PILAR,SUBPILAR,DESCRIPCION_PILAR,AÑO,CATEGORIA_INDX,CATEGORIA_DESC,FACTOR
6.06,Number of procedures required to start a business,number of procedures required to start a business,6,6,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.07,Time required to start a business,time required to start a business,6,7,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.08,Agricultural policy costs,agricultural policy costs,6,8,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.09,Prevalence of trade barriers,prevalence of trade barriers,6,9,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.10,Trade tariffs,trade tariffs,6,10,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.11,Prevalence of foreign ownership,prevalence of foreign ownership,6,11,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.12,Business impact of rules on FDI,business impact of rules on fdi,6,12,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.13,Burden of customs procedures,burden of customs procedures,6,13,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.14,Imports as a percentage of GDP,imports as a percentage of gdp,6,14,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.15,Degree of customer orientation,degree of customer orientation,6,15,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.16,Buyer sophistication,buyer sophistication,6,16,Habilidades,2015,B,Impulsores de Eficiencia,0.5
7.01,Cooperation in labor-employer relations,cooperation in laboremployer relations,7,1,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
7.02,Flexibility of wage determination,flexibility of wage determination,7,2,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
7.03,Hiring and firing practices,hiring and firing practices,7,3,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
7.04,Redundancy costs,redundancy costs,7,4,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
7.05,Effect of taxation on incentives to work,effect of taxation on incentives to work,7,5,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
7.06,Pay and productivity,pay and productivity,7,6,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
7.07,Reliance on professional management,reliance on professional management,7,7,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
7.08,Country capacity to retain talent,country capacity to retain talent,7,8,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
7.09,Country capacity to attract talent,country capacity to attract talent,7,9,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
7.10,Female participation in labor force,female participation in labor force,7,10,Mercado de Productos,2015,B,Impulsores de Eficiencia,0.5
8.01,Availability of financial services,availability of financial services,8,1,Mercado Laboral,2015,B,Impulsores de Eficiencia,0.5
8.02,Affordability of financial services,affordability of financial services,8,2,Mercado Laboral,2015,B,Impulsores de Eficiencia,0.5
8.03,Financing through local equity market,financing through local equity market,8,3,Mercado Laboral,2015,B,Impulsores de Eficiencia,0.5
8.04,Ease of access to loans,ease of access to loans,8,4,Mercado Laboral,2015,B,Impulsores de Eficiencia,0.5
8.05,Venture capital availability,venture capital availability,8,5,Mercado Laboral,2015,B,Impulsores de Eficiencia,0.5
8.06,Soundness of banks,soundness of banks,8,6,Mercado Laboral,2015,B,Impulsores de Eficiencia,0.5
8.07,Regulation of securities exchanges,regulation of securities exchanges,8,7,Mercado Laboral,2015,B,Impulsores de Eficiencia,0.5
8.08,Legal rights index,legal rights index,8,8,Mercado Laboral,2015,B,Impulsores de Eficiencia,0.5
9.01,Availability of latest technologies,availability of latest technologies,9,1,Sistema Financiero,2015,B,Impulsores de Eficiencia,0.5
9.02,Firm-level technology absorption,firmlevel technology absorption,9,2,Sistema Financiero,2015,B,Impulsores de Eficiencia,0.5
9.03,FDI and technology transfer,fdi and technology transfer,9,3,Sistema Financiero,2015,B,Impulsores de Eficiencia,0.5
9.04,Internet users,internet users,9,4,Sistema Financiero,2015,B,Impulsores de Eficiencia,0.5
9.05,Broadband Internet subscriptions,broadband internet subscriptions,9,5,Sistema Financiero,2015,B,Impulsores de Eficiencia,0.5
9.06,Internet bandwidth,internet bandwidth,9,6,Sistema Financiero,2015,B,Impulsores de Eficiencia,0.5
9.07,Mobile broadband subscriptions,mobile broadband subscriptions,9,7,Sistema Financiero,2015,B,Impulsores de Eficiencia,0.5
10.01,Domestic market size index,domestic market size index,10,1,Tamaño del Mercado,2015,B,Impulsores de Eficiencia,0.5
10.02,Foreign market size index,foreign market size index,10,2,Tamaño del Mercado,2015,B,Impulsores de Eficiencia,0.5
11.01,Local supplier quantity,local supplier quantity,11,1,Dinamismo Empresarial,2015,C,Factores de Innovación y Sofisticación,0.1
11.02,Local supplier quality,local supplier quality,11,2,Dinamismo Empresarial,2015,C,Factores de Innovación y Sofisticación,0.1
11.03,State of cluster development,state of cluster development,11,3,Dinamismo Empresarial,2015,C,Factores de Innovación y Sofisticación,0.1
11.04,Nature of competitive advantage,nature of competitive advantage,11,4,Dinamismo Empresarial,2015,C,Factores de Innovación y Sofisticación,0.1
11.05,Value chain breadth,value chain breadth,11,5,Dinamismo Empresarial,2015,C,Factores de Innovación y Sofisticación,0.1
11.06,Control of international distribution,control of international distribution,11,6,Dinamismo Empresarial,2015,C,Factores de Innovación y Sofisticación,0.1
11.07,Production process sophistication,production process sophistication,11,7,Dinamismo Empresarial,2015,C,Factores de Innovación y Sofisticación,0.1
11.08,Extent of marketing,extent of marketing,11,8,Dinamismo Empresarial,2015,C,Factores de Innovación y Sofisticación,0.1
11.09,Willingness to delegate authority,willingness to delegate authority,11,9,Dinamismo Empresarial,2015,C,Factores de Innovación y Sofisticación,0.1
12.01,Capacity for innovation,capacity for innovation,12,1,Capacidad de Innovación,2015,C,Factores de Innovación y Sofisticación,0.1
